Gene,cru1,cru2,cru3,cru123
AT2G42000,0,0,0,3.17
AT3G22890,0,0,1.222,2.97
AT3G50970,0,1.369,1.773,2.926
AT3G56130,0,0,0,2.852
AT2G46930,0,1.459,0,2.544
AT1G52670,0,0,0,2.503
AT2G26890,0,0,0,2.445
AT4G27140,0.811,0.888,1.254,2.401
AT2G17790,0,0.732,0.822,2.4
AT5G48480,0,0,0,2.273
AT1G09270,0,0,0,2.256
AT2G21620,0,0,0.646,2.256
AT2G24050,0,0,0,2.256
AT3G22330,0,0,0,2.256
AT1G29910,0,0,0,2.222
AT1G29920,0,0,0,2.222
AT1G29930,0,0,0,2.222
AT3G10340,0,0,0,2.222
AT3G53900,1.115,1.222,0.663,2.222
AT3G48730,0,0,0,2.205
AT1G07510,0,0,0,2.188
AT1G80070,0,1.369,2.17,2.17
AT1G77670,0,0,0,2.152
AT2G27600,0,0,0,2.097
AT3G10690,0,0,0,2.097
AT2G34420,0,-1.459,-1.459,2.087
AT2G34430,0,-1.459,-1.459,2.087
AT1G27430,0,0,0,2.078
AT2G32520,0,0,0,2.078
AT5G63140,0,1.222,1.585,2.078
AT1G66250,0,0,0.939,2.07
AT1G31230,0,0,0,2.059
AT3G19770,0,0,0,2.059
AT4G36400,0,0.663,1.415,2.047
AT5G28020,0,0,0,1.98
AT1G63290,0,0,1,1.959
AT5G49930,0,0.585,0,1.939
AT5G56350,0,0,0.874,1.907
AT1G71120,0,0,0,1.896
AT2G29080,0,0,0,1.896
AT3G08947,0,0,0,1.896
AT1G62390,0,0,0,1.874
AT3G05500,0,0,0,1.874
AT3G27740,0,0,0,1.852
AT5G64400,0,0,0,1.852
AT1G04920,0,0,0,1.841
AT1G29980,0,0,0,1.83
AT1G52380,0,0,0,1.83
AT4G27130,0,0,0,1.83
AT5G44090,0,0,0.807,1.83
AT1G10940,0,0,0,1.807
AT1G14650,0,0,0,1.807
AT1G42960,0,0,0,1.807
AT2G26210,0,0,0,1.807
AT5G22770,0,0,0,1.807
AT5G51070,0,0,0,1.807
AT2G18080,0,0,0,1.794
AT3G53560,0,0,0,1.784
AT4G21590,0,0,0,1.784
AT2G17650,0.663,0,0.737,1.761
AT2G45790,0,0,0,1.761
AT5G09650,0,0,0,1.761
AT5G19370,0,0,0,1.737
AT5G42850,0,0,0,1.737
AT1G80090,0,0,0,1.713
AT5G05670,0,0,0,1.713
AT1G56110,0,0,1.059,1.688
AT3G58600,0,0,0,1.688
AT4G18680,0,0,0,1.688
AT1G05260,0,0,0,1.678
AT4G26870,0,0,0,1.678
AT2G42210,0,0,0.939,1.663
AT3G14600,0,0,1.322,1.663
AT1G24300,0,0,0,1.637
AT1G66530,0,0.737,0.737,1.637
AT3G03590,0,0,0.874,1.637
AT3G07320,0,0,0,1.637
AT3G13160,0,0,0,1.637
AT3G46780,0,0,0,1.637
AT3G48270,0,0,0,1.637
AT3G18420,0,0,0,1.624
AT1G69250,0,0,0,1.617
AT3G13772,0,0,0.585,1.617
AT1G02930,0,0,0,1.611
AT2G29300,0,0,0.939,1.611
AT5G16660,0,0,0,1.611
AT5G55160,0,0,0,1.611
AT1G08630,0,0,0,1.585
AT2G13360,0,0.585,0,1.585
AT2G40290,0,0,0,1.585
AT3G25220,0,0,1,1.585
AT5G35160,0,0,0,1.585
AT5G40480,0,0,0,1.585
AT5G47010,0,0,0,1.585
AT3G13930,0,1.152,1.128,1.566
AT1G21380,0,0,0,1.558
AT3G03920,0,0,0,1.558
AT3G56490,0,0,0,1.558
AT5G60540,0,0,0,1.558
AT1G22940,0,0,0,1.553
AT4G33640,0,0,0,1.553
AT5G46210,0,0,0,1.553
AT5G15530,0,0,0,1.551
AT1G47500,0,0,0,1.544
AT4G09610,0,0,0,1.544
AT5G22780,0,0,0,1.544
AT1G28350,0,0,0,1.531
AT1G45150,0,0,0,1.531
AT1G65270,0,0,0,1.531
AT3G08510,0,0,0,1.531
AT3G21110,0,0,0,1.531
AT3G62940,0,0,0,1.531
AT5G05020,0,0,0,1.531
AT5G50240,0,0,0,1.531
AT5G63310,0,0,0,1.531
AT2G29190,0,0,0,1.519
AT5G08260,0,1.663,1.531,1.519
AT1G14000,0,0,0,1.503
AT1G30530,0,0,0,1.503
AT2G04350,0,0,1.322,1.503
AT4G27270,0,0.83,0,1.503
AT5G46180,0,0,0,1.503
AT1G80230,0,0,0,1.485
AT4G02580,0,0.807,1.115,1.485
AT1G17100,0,0.636,0.873,1.482
AT1G09770,0,0,0,1.474
AT1G16700,0,0,0,1.474
AT1G30000,0,0,0,1.474
AT1G36730,0,0,0,1.474
AT3G01520,0,0,0,1.474
AT3G51430,0,0,0,1.474
AT4G19640,0,0,0,1.474
AT5G11720,0,0.585,0,1.474
AT3G03490,0,0,0,1.459
AT1G23900,0,0,0,1.451
AT1G35680,0,0,0,1.451
AT4G08900,0,0,0,1.451
AT1G05520,0,0,0.807,1.445
AT1G07990,0,0,0,1.445
AT2G02130,0,0.874,1,1.445
AT2G21530,0,0,0,1.445
AT3G10650,0,0,0,1.445
AT3G17130,0,0,0,1.445
AT3G45010,0,0.737,0,1.445
AT4G26750,0,0,0,1.445
AT5G55135,0,0,0,1.445
AT1G20220,0,0,0,1.415
AT1G20760,0,0,0,1.415
AT1G21065,0,0,0,1.415
AT1G53500,0,0,0,1.415
AT3G13870,0,0,0,1.415
AT3G14010,0,0,0,1.415
AT3G15360,0,0,0,1.415
AT3G59820,0,0,0,1.415
AT4G04830,0,0,0,1.415
AT4G26000,0,0,0,1.415
AT4G32720,0,0,0,1.415
AT5G10940,0,0,0,1.415
AT5G17050,0,0,0,1.415
AT5G23400,0,0,0,1.415
AT5G27630,0,0,0,1.415
AT5G66400,1.075,1.301,1.699,1.396
AT1G11820,0,0.663,0,1.385
AT1G20330,0,0,0,1.385
AT1G77490,0,0,0,1.385
AT2G24280,0,0.918,0,1.385
AT3G14220,0,0,0,1.385
AT4G39890,0,0,1.059,1.385
AT5G39830,0,0,0,1.385
AT2G17360,0,0.618,0.664,1.38
AT1G64550,0,0,0,1.379
AT3G15010,0,0,0,1.379
AT3G23300,0,0,0,1.379
AT3G46830,0,0,0,1.379
AT3G01910,0,1.093,1.138,1.371
AT5G52920,0,0.848,0.485,1.37
AT3G10370,0,0,0,1.354
AT5G03660,0,0,0,1.354
AT5G67130,0,0,0,1.354
ATCG00500,0,0,0,1.345
AT4G14360,0,0,0,1.341
AT4G20830,0,0,0,1.341
AT2G43710,0.715,1.072,1.037,1.338
AT3G02480,0,0,0,1.325
AT4G20820,0,0,0,1.322
AT4G38710,0,0,0,1.322
AT5G41220,0,0,0,1.322
AT2G43750,0,0.574,1.047,1.313
AT1G50600,0,0,0,1.303
AT2G01820,0,0,0.737,1.303
AT1G08780,0,0,0,1.29
AT1G16300,0,0,0,1.29
AT1G65590,0,0.83,0,1.29
AT1G67650,0,0,0,1.29
AT3G10090,0,0,0,1.29
AT3G10250,0,0,0,1.29
AT3G14100,0,0,0,1.29
AT3G61010,0,0,0,1.29
AT4G12910,0,0,0,1.29
AT5G03850,0,0,0,1.29
AT1G34430,1.041,1.665,1.346,1.282
AT1G73180,0,0,0,1.273
AT1G76850,0,0,0,1.273
AT2G03820,0,0,0,1.273
AT2G43400,0,0,0,1.273
AT2G47130,0,0,0,1.273
AT3G01200,0,0,0,1.273
AT4G32520,0,0,0,1.273
AT5G05590,0,0,0,1.273
AT1G56050,0,0,0,1.263
AT3G01850,0,0,0,1.263
AT5G02100,0,0,0,1.263
AT5G08100,0,0,0,1.263
AT1G71840,0,0,0.503,1.256
AT2G14120,0,0,0,1.256
AT2G25080,0,0,0,1.256
AT2G32090,0,0,0.939,1.256
AT2G36190,0,0,0,1.256
AT2G37790,0,0,0,1.256
AT3G03270,0,0,0,1.256
AT3G03890,0,0,0,1.256
AT3G23980,0,0,0,1.256
AT3G55430,0,0,0,1.256
AT4G20960,0,0,0,1.256
AT2G17265,0,1.188,1.415,1.249
AT4G14030,0,1.043,1.541,1.249
AT1G09780,0,0.655,0.982,1.246
AT5G66780,0,0.456,0.803,1.233
AT2G15010,0,0,0.672,1.223
AT1G28330,0,0,0,1.222
AT1G66070,0,0,0,1.222
AT1G77480,0,0,0.807,1.222
AT3G04710,0,0,0,1.222
AT3G13560,0,0,0,1.222
AT3G52750,0,0,0,1.222
AT4G00090,0,0,0,1.222
AT4G29510,0,0,0,1.222
AT5G11710,0,0,0,1.222
AT5G25100,0,0,0,1.222
AT5G36700,0,0,0,1.222
AT5G36790,0,0,0,1.222
AT5G42150,0,0,0,1.222
AT2G31725,0,0,0,1.188
AT2G41790,0,0,0,1.188
AT3G45640,0,0,0,1.188
AT3G60950,0,0,0,1.188
AT3G61030,0,0,0,1.188
AT4G36690,0,0,0,1.188
AT4G39230,0,0,0,1.188
AT5G07460,0,0,1.273,1.188
AT5G52420,0,0,0,1.188
AT5G54390,0,0,0,1.188
AT3G25860,0.788,1,1.052,1.187
AT3G17820,0.943,0.837,0.731,1.182
AT1G12270,0,0,0,1.181
AT1G62710,0.73,0.909,1.138,1.181
AT1G69460,0,0.939,0,1.181
AT1G77100,0,0,0,1.181
AT2G40600,0,0,0,1.181
AT2G43520,0,0,0,1.176
AT3G14310,0,0,0.503,1.17
AT3G21360,0,0,0,1.17
AT3G57030,0,0,0,1.17
AT5G42090,0,0,0,1.17
AT2G28490,0,0.694,0.946,1.166
AT1G04750,0,0,0,1.152
AT1G13690,0,0,0.503,1.152
AT1G19920,0,0.83,0,1.152
AT1G61250,0,0,0,1.152
AT2G23820,0,0,0,1.152
AT2G27450,0,0,0,1.152
AT2G44050,0,0,0,1.152
AT3G04780,0,0,0,1.152
AT3G59980,0,0,0,1.152
AT4G26780,0,0,0,1.152
AT4G27320,0,0,0,1.152
AT4G36440,0,0,0,1.152
AT1G32060,1.355,1.407,1.562,1.138
AT1G43700,0,0,0.737,1.138
AT3G07680,0,0,0.874,1.138
AT3G43540,0,0,0,1.138
AT3G47810,0,0,1.115,1.138
AT4G10340,0,0,0,1.138
AT5G57330,0,0,0,1.138
AT1G10840,1,1.363,1.778,1.132
AT1G62640,0,0.721,0.697,1.132
AT5G20290,0,0.579,0.767,1.13
AT3G46440,0,0.855,1.015,1.125
AT2G38040,0.652,1.1,1.568,1.118
AT5G35360,0,1.087,1.222,1.117
AT1G62810,0,0,0,1.115
AT1G71820,0,0,0,1.115
AT1G76810,0,0,0,1.115
AT1G77140,0,0,0,1.115
AT2G02500,0,0,0,1.115
AT2G24820,0,0,0,1.115
AT3G03100,0,0,0,1.115
AT3G13330,0,0,1.17,1.115
AT3G59990,0,0,0,1.115
AT4G17720,0,0,0,1.115
AT4G19170,0,0,0,1.115
AT5G14220,0,0,0,1.115
AT5G18480,0,0,0,1.115
AT5G49360,0,0,0,1.115
AT5G53400,0,0,0,1.115
AT5G59440,0,0,0,1.115
AT4G13850,0,0,0.637,1.111
AT5G06460,0,0.721,0.623,1.108
AT1G02700,0,0,0.891,1.106
AT3G54940,0.726,0.748,1.275,1.094
AT1G09150,0,0,0,1.093
AT1G27030,0,0,0,1.093
AT2G01490,0,0,0,1.093
AT3G05180,0,0,0,1.093
AT3G09980,0,0,0,1.093
AT3G12860,0,0,0,1.093
AT4G03205,0,0,0,1.093
AT4G17040,0,0,0.83,1.093
AT4G29830,0,0,0,1.093
AT4G34540,0,0,0,1.093
AT5G47480,0,0,0,1.093
AT2G36880,0,0.801,0.585,1.093
AT3G25520,0,0,1.02,1.089
AT2G31670,0,0,0,1.084
AT3G47340,0,0.852,1.354,1.081
AT5G63030,0,0.852,0.45,1.08
AT1G01050,0,0,0,1.078
AT1G04850,0,0,0,1.078
AT1G14570,0,0,0,1.078
AT1G15060,0,0,0,1.078
AT1G23740,0,0,0,1.078
AT1G29810,0,0,0,1.078
AT1G50510,0,0,0,1.078
AT1G59830,0,0,0,1.078
AT2G37690,0,0,0,1.078
AT2G43770,0,0,0,1.078
AT3G03060,0,0,0,1.078
AT3G10220,0,0,0,1.078
AT3G16050,0,0,0,1.078
AT3G20390,0,0,0,1.078
AT3G23710,0,0,0,1.078
AT5G03540,0,0,0,1.078
AT5G66100,0,0,0,1.078
AT1G21670,0,0,0,1.075
AT2G21130,1.187,1.304,1.597,1.067
AT5G14590,0,1.023,1.421,1.067
AT5G10730,0,0.86,0.848,1.06
AT1G04170,0,0,0,1.059
AT1G07780,0,0,0,1.059
AT1G15820,0,0,0,1.059
AT1G53580,0,0,0,1.059
AT1G75850,0,0,0,1.059
AT3G60180,0,0,0,1.059
AT4G25370,0,0,0,1.059
AT5G49510,0,0,0,1.059
AT3G25230,0,0,0,1.057
AT1G79230,0,0,0,1.054
AT1G48030,0,0,0.693,1.054
AT2G21170,0,0.685,0.721,1.052
AT5G16240,0,0.862,1.222,1.051
AT4G08390,0,1.22,1.527,1.051
AT2G05840,0,0.841,1.503,1.05
AT1G32380,0,0,0,1.047
AT1G61670,0,0,0,1.047
AT2G35690,0,0.737,0,1.047
AT3G25290,0,0,0,1.047
AT3G53580,0,0,0,1.047
AT4G16440,0,0,0,1.047
AT4G19710,0,0,0,1.047
AT4G20020,0,0,0,1.047
AT4G38600,0,0,0,1.047
AT5G23900,0,0,0,1.047
AT5G49650,0,1.156,1.456,1.047
AT1G18100,0,0,0,1.042
AT1G62740,0,1.061,1.031,1.041
AT4G27160,0,0.502,0.641,1.04
AT3G56350,0.616,0.962,1.032,1.04
AT1G12410,0,0,0,1.04
AT1G55020,0,0,0,1.04
AT2G18510,0,0,0,1.04
AT2G47690,0,0,0,1.04
AT3G43520,0,0,0.503,1.04
AT3G54250,0,0,0,1.04
AT3G62790,0,0,0,1.04
AT4G20440,0,0,0,1.04
AT5G16930,0,0,0,1.04
AT5G44500,0,0,0,1.04
AT1G54010,0,0.665,0.652,1.033
AT5G47720,0.683,0.635,1.195,1.03
AT5G49190,0,0,0.702,1.027
AT5G65620,0,1.459,1.481,1.025
AT5G15090,0,0,0.724,1.019
AT5G59290,0,0,0,1.018
AT3G55410,0,1.322,1.826,1.015
AT5G15490,0,0.544,0,1.01
AT3G06720,0,1.215,0.974,1.009
AT3G08590,0.71,0.876,1.05,1.008
AT2G37760,0,0,0,1.008
AT1G16460,0.757,1.025,1.073,1.006
AT1G06020,0,0,0,1
AT1G17470,0,0,0,1
AT1G21900,0,0,0,1
AT1G44170,0,0,0,1
AT1G51710,0,1.204,1.541,1
AT1G54080,0,0,0,1
AT1G75270,0,0,0,1
AT2G26540,0,0,0,1
AT2G29990,0,0,0,1
AT2G45820,0,0,0,1
AT2G47470,0,0.55,0.855,1
AT3G01310,0,0,0,1
AT3G01720,0,0,0,1
AT3G12670,0,0,0,1
AT3G17940,0,1.331,1.556,1
AT3G22845,0,0,0,1
AT3G27020,0,0,0,1
AT3G50590,0,0,0,1
AT3G62110,0,0,0,1
AT4G28220,0,0,0,1
AT4G30530,0,0,0,1
AT4G34700,0,0,0,1
AT4G35850,0,0,0,1
AT4G39220,0,0,0,1
AT5G14260,0,0,0,1
AT5G14540,0,0,0,1
AT5G19680,0,0,0,1
AT5G23740,0,0,0,1
AT5G25070,0,0,0,1
AT5G26210,0,0,0,1
AT5G37830,0,0,0,1
AT5G52520,0,0,0,1
AT5G59170,0,0,0,1
AT5G63420,0,0,0,1
AT2G34480,0,1.049,1.315,0.987
AT5G13560,0,0.837,1,0.984
AT3G51260,0.787,0.72,1.014,0.982
AT3G59970,0,0.723,0.896,0.981
AT5G54770,0,1,0.855,0.981
AT1G30230,0,0.845,0.907,0.98
AT5G66140,0,0,0.822,0.979
AT4G11820,1.066,1.229,1.358,0.973
AT1G47710,0,0.818,1.291,0.97
AT4G15530,0,1.059,1.034,0.97
AT5G39740,0,0,0.904,0.967
AT5G62490,0,0.66,0.807,0.962
AT1G05150,0,0,0,0.959
AT1G61010,0,0,0,0.959
AT1G61150,0,0,0,0.959
AT1G64660,0,0,0,0.959
AT1G73080,0,0,0,0.959
AT2G03510,0,0,0,0.959
AT2G19320,0,0,0,0.959
AT2G33120,0,0,0,0.959
AT3G08780,0,0,0,0.959
AT5G14170,0,0,0,0.959
AT5G43280,0,0,0,0.959
AT5G59810,0,0,0,0.959
AT5G63910,0,0,0,0.959
AT5G66170,0,0,0,0.959
AT4G03520,0,0,0,0.957
AT5G16760,0,1.163,1.356,0.954
AT1G57720,0.836,0.963,1.188,0.954
AT5G42980,0,0.734,0.58,0.952
AT1G02140,0,0,0,0.951
AT1G09020,0,0,0,0.951
AT1G17580,0,0,0,0.951
AT1G21400,0,0,0,0.951
AT1G22170,0,0,0,0.951
AT1G34130,0,0,0,0.951
AT1G65220,0,0,0,0.951
AT2G07340,0,0,0,0.951
AT2G47940,0,0,0,0.951
AT2G47960,0,0,0,0.951
AT3G07660,0,0,0,0.951
AT3G26290,0,0.503,0,0.951
AT3G44590,0,0,0,0.951
AT3G58460,0,0,0.918,0.951
AT4G09650,0,0,0,0.951
AT4G15510,0,0,0,0.951
AT5G06580,0,0,0,0.951
AT5G64050,0,0,0,0.951
AT5G67380,0,0,0,0.951
AT2G23350,0,0.604,0.766,0.95
AT4G11310,0,0,0,0.948
AT3G19170,0,1.153,1.614,0.947
AT3G19920,0,0.909,1.058,0.945
AT1G14610,0,1.563,1.844,0.944
AT1G16210,0,0,0,0.939
AT1G26450,0,0,0,0.939
AT2G18330,0,0,0,0.939
AT3G49680,0,0,0,0.939
AT4G00570,0,0,0,0.939
AT4G12600,0,0,0,0.939
AT3G06050,0,0,0.643,0.938
AT5G65720,0,0,0,0.934
AT1G06950,0.833,1.129,1.129,0.932
AT5G10560,0,1.115,0,0.928
AT1G20020,0,0.585,0,0.928
AT1G15130,0,1.018,1,0.927
AT1G16850,0,0,0,0.926
AT1G01100,0.585,0.503,0.693,0.925
AT3G57890,0,0,0,0.919
AT1G53310,0.943,1.081,1.38,0.918
AT1G06310,0,0,0,0.918
AT1G15710,0,0,0,0.918
AT1G24800,0,0,0,0.918
AT1G24881,0,0,0,0.918
AT1G25055,0,0,0,0.918
AT1G25150,0,0,0,0.918
AT1G25211,0,0,0,0.918
AT2G38000,0,0,0,0.918
AT2G42490,0,0,0,0.918
AT3G10050,0,0,0,0.918
AT3G51160,0,0,0,0.918
AT3G61530,0,0,0,0.918
AT4G01610,0,0,0,0.918
AT4G01897,0,0,0,0.918
AT4G17510,0,0,0,0.918
AT5G26040,0,0,0,0.918
AT5G26680,0,0,0,0.918
AT5G38170,0,0,0,0.918
AT5G54100,0,0,0,0.918
AT1G09640,0,0.923,1.051,0.911
AT5G04430,0,0,0.564,0.908
AT5G15650,0,0.824,0.79,0.908
AT3G15670,0,0.441,0.829,0.907
AT5G07830,0,0,0,0.906
AT1G18500,0,0.541,0.947,0.904
AT2G44120,0,1.452,1.627,0.9
AT1G26550,0,0,0,0.9
AT1G26850,0,0,0,0.9
AT1G36180,0,0,0,0.9
AT1G51390,0,0.503,0,0.9
AT2G05120,0,0,0,0.9
AT2G18700,0,0,0,0.9
AT4G16060,0,0,0,0.9
AT4G20410,0,0,0,0.9
AT4G31580,0,0,0,0.9
AT5G05000,0,0,0,0.9
AT5G05980,0,0,0,0.9
AT5G23050,0,0,0,0.9
AT5G25265,0,0,0,0.9
AT5G40950,0,0,0,0.9
AT5G53470,0,0,0,0.9
AT5G62790,0,0,0,0.9
AT5G64960,0,0,0,0.9
AT3G22960,0,0,0,0.899
AT3G53990,0,0,0,0.899
AT5G48230,0,0.855,1.259,0.898
AT5G67360,0,0.415,0,0.894
AT5G07090,0,0.618,0.664,0.894
AT5G10540,0.836,1.235,1.281,0.894
AT1G59610,0,0.897,0.87,0.893
AT3G54400,0,0,0.941,0.893
AT5G64250,1.229,1.142,1.409,0.888
AT2G36640,0.489,0.508,0.847,0.885
AT3G17240,0,0.655,0.838,0.884
AT3G22640,0.634,0.769,0.892,0.882
AT5G66760,0,0.716,0.882,0.879
AT2G37970,1.356,1.214,1.604,0.876
AT2G22780,0,0.745,0.946,0.875
AT1G14210,0,0,0,0.874
AT1G20880,0,0,0,0.874
AT2G03430,0,0,0,0.874
AT2G27460,0,0,0,0.874
AT3G07300,0,0,0,0.874
AT3G12260,0,0,0,0.874
AT3G52340,0,0,0,0.874
AT3G53180,0,0,0,0.874
AT3G54440,0,0,1.152,0.874
AT4G00238,0,0,0,0.874
AT4G01900,0,1.129,1.443,0.874
AT4G08520,0,0,0,0.874
AT4G15110,0,0,0,0.874
AT4G18660,0,0,0,0.874
AT4G22360,0,0,0,0.874
AT4G39090,0,0,0.503,0.874
AT5G02530,0,0,0,0.874
AT5G04170,0,0,0,0.874
AT5G10870,0,0,0,0.874
AT5G37720,0,0,0,0.874
AT5G46860,0,0,0,0.874
AT5G57020,0,0,0,0.874
AT5G59720,0,0,0,0.874
AT5G13030,0,1,1.536,0.873
AT1G66580,0,0.979,0.935,0.871
AT1G11650,0,0.769,0.495,0.87
AT3G51800,0,0.618,0.717,0.869
AT3G49010,0,1.433,1.341,0.865
AT4G21020,0,0,0.878,0.861
AT4G27150,0.374,0.5,0.64,0.858
AT1G55490,0.981,1.018,1.141,0.857
AT1G60710,0,0,0.897,0.852
AT1G32300,0,0,0,0.848
AT1G49660,0,0,0,0.848
